Câu số,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng
96,"Câu 96:  Trong Oracle SQL Developer, lệnh nào sai ?",a.  Select * from SV@db@,b. Select * from SV@datalink,c.  Select MaSV from SV@db,d.  Select Hoten from SV@db,Đáp án: a
97,"Câu 97:  Trong Oracle SQL Developer, lệnh Insert into USER@....(MaSV,Hoten) values(‘sv1’,’Tran Uoc’) dấu .... điền vào nội dung gì?",a.  Tên của kết nối CSDL với máy khác,b. Tên của máy cần chèn dữ liệu,c.  Tên của bảng cần chèn,d. Tên của CSDL máy cần cập nhật dữ liệu,Đáp án: a
98,"Câu 98:   Trong Oracle SQL Developer, lệnh Insert into USER@db(MaSV,Hoten) values(‘sv1’,’Tran Uoc’) thực hiện công việc gì?",a.  Chèn dữ liệu vào bảng USER với tên kết nối với CSDL máy khác là db,b. Chèn dữ liệu vào bảng USER với tên máy khác là db,c.  Chèn dữ liệu vào bảng USER với tên Form là db,d. Chèn dữ liệu vào bảng USER với tên truy vấn là db,Đáp án: a
99,"Câu 99:  Trong Oracle SQL Developer, lệnh Insert into USER@...., từ máy này muốn nhập dữ liệu vào máy khác dấu .... sẽ là?","a.  datalink(MaSV,Hoten) values(‘sv2’,’ Uoc’)","b. 192.168.1.1(MaSV,Hoten) values(‘sv2’,’ Uoc’)","c.   (MaSV,Hoten) values(‘sv2’,’ Uoc’)","d.  values(‘sv2’,’ Uoc’)",Đáp án: a
100,Câu 100:  Lệnh nào thể hiện cơ sở dữ liệu phân tán ?,"a.  Insert into USER@db(MaSV,Hoten) values(‘sv1’,’Tran Uoc’)","b. Insert into USER(MaSV,Hoten) values(‘sv1’,’Tran Uoc’)","c.  Insert into USER values(‘sv1’,’Tran Uoc’)","d.  Insert into USER@db(MaSV,Hoten) @values(‘sv1’,’Tran Uoc’)",Đáp án: a
101,Câu 101:  Lệnh nào đúng ?,"a.  Insert into NV@cnn(MaSV,Hoten) values(‘nv1’,’Tran Uoc’)","b. Insert into @USER(MaSV,Hoten) values(‘sv1’,’Tran Uoc’)","c.  Insert into USER @values(‘sv1’,’Tran Uoc’)","d. Insert into USER@db(MaSV,Hoten) @values(‘sv1’,’Tran Uoc’)",Đáp án: a
102,Câu 102:  Lệnh nào sai ?,"a.  Insert into NV(MaSV,Hoten) @values(‘nv1’,’Tran Uoc’)","b. Insert into USER(MaSV,Hoten) values(‘sv1’,’Tran Uoc’)","c.  Insert into USER@cnn(MaSV,Hoten) values(‘sv1’,’Uoc’)","d. Insert into USER@db(MaSV,Hoten) values(‘sv3’,’Hoa’)",Đáp án: a
103,"Câu 103:  Trong Oracle SQL Developer, lệnh Update Dangnhap@cnn set ten = ‘Tuan’ where ten=’Phuong’ thực hiện công việc gì?",a.  Sửa dữ liệu vào bảng Dangnhap với tên kết nối với CSDL máy khác là cnn,b. Sửa dữ liệu vào bảng Dangnhap với tên may cnn,c.  Sửa dữ liệu vào bảng Dangnhap với tên CSDL là cnn,d. Chèn dữ liệu vào bảng Dangnhap với tên truy vấn là cnn,Đáp án: a
104,"Câu 104:  Trong Oracle SQL Developer, lệnh Update Dangnhap@cnn set ten = ‘Tuan’ where ten=’Phuong’ kết quả là gì?",a.  Tên Phuong sẽ thay bằng tên Tuan theo tên kết nối dữ liệu cnn,b. Tên Tuan sẽ thay bằng tên Phuong theo tên kết nối dữ liệu cnn,c.  Tên Phuong sẽ thay bằng tên Tuan theo tên CSDL cnn,d.  Tên Phuong sẽ thay bằng tên Tuan theo tên máy cnn,Đáp án: a
105,"Câu 105:  Trong Oracle SQL Developer, lệnh nào sẽ thay thế tên ‘Lan’ bằng Toan tại máy khác trong mạng LAN?",a.  Update NV@cnn set ten = ‘Toan’ where ten=’Lan’,b. Update NV@cnn set ten = ‘Lan’ where ten=’Toan’,c.  Update NV set ten = ‘Toan’ where ten=’Lan’,d. Update NV set ten = ‘Lan’ where ten=’Toan’,Đáp án: a
106,"Câu 106:  Trong Oracle SQL Developer, lệnh nào từ máy này xóa dữ liệu tới máy khác trong mạng LAN",a.  Delete From GV@cnn where ten= ‘Tran Uoc’,b. Delete From GV where ten= ‘Tran Uoc’,c.  Delete From GVcnn@ where ten= ‘Tran Uoc’,d. Delete @From GV where ten= ‘Tran Uoc’,Đáp án: a
107,"Câu 107:  Trong Oracle SQL Developer, lệnh nào xóa khách hàng tên ‘Hùng’ tại máy khác với máy bạn đang thực hiện",a.  Delete From Khachhang@cnn where ten= ‘Hung’,b. Delete From Khachhang where ten= ‘Hung’,c.  Delete From Khachhangcnn@ where ten= ‘Hung’,d. Delete From Khachhang where @ten= ‘Hung’,Đáp án: a
108,"Câu 108:  Trong Oracle SQL Developer, lệnh nào xóa khách hàng tên ‘Thuy’ tại máy bạn đang thực hiện",a.  Delete From Khachhang where ten= ‘Thuy’,b. Delete From Khachhang@cnn where ten= ‘Thuy’,c.  Delete From Khachhangcnn@ where ten= ‘Thuy’,d. Delete From Khachhang where @ten= ‘Thuy’,Đáp án: a
109,"Câu 109:  Trong Oracle SQL Developer, lệnh nào đúng",a.  Delete From Khachhang where ten= ‘Thuy’,b. Delete From Khachhang@ where ten= ‘Thuy’,c.  Update From where ten= ‘,d. Delete From Khachhang where ten=@ ‘Thuy’,Đáp án: a
110,"Câu 110:  Trong Oracle SQL Developer, lệnh nào sai",a.  Delete From @Khachhang where ten= ‘Thuy’,b. Delete From Khachhang@cnn where ten= ‘Thuy’,c.  Update NV@cnn set ten = ‘Toan’ where ten=’Lan’,d. Update NV set ten = ‘Toan’ where ten=’Lan’,Đáp án: a
111,"Câu 111: Để đóng Form hiện tại, bạn sử dụng câu lệnh…",a. this.Close(),b. me.Close(),c. this.Hide(),d. me.Hide(),Đáp án: a
112,Câu 112: Thuộc tính AcceptButton của Form dùng để ?,a. Tạo một nút nhấn trên Form,b. Tạo ra nút nhấn có nhãn là Accept,c. Nút được click khi nhấn phím Enter,d. Không có đáp án đúng,Đáp án: c
113,"Câu 113: Để không cho phép người dùng sửa dữ liệu trong Textbox, chúng ta dùng thuộc tính ?",a.Text,b.ReadOnly,c.Enable,d.Locked,Đáp án: b
114,"Câu 114: Để khai báo biến trong C#,bạn sử dụng câu lệnh ?",a. dim hoten,b. dim hoten as string,c. string hoten ;,d. hoten string ;,Đáp án: c
115,Câu 115: Thuộc tính Visible dùng để ?,a. Hiển thị hình ảnh,b.Cho phép nhập văn bản,c.Không cho phép di chuyển điều khiển,d.Ẩn hoặc hiện điều khiển,Đáp án: d
116,"Câu 116: Để cho phép kích thước ảnh phù hợp với PictureBox,bạn dùng thuộc tính ?",a. Image,b.SizeMode,c.Size,d.MaximumSize,Đáp án: b
117,"Câu 117: Đoạn chương trình sau cho kết quả là bao nhiêu ?
int tich, i;
tich = 0;
for (i = 1; i <= 5; i++)
{
tich = tich * i;
}
Console.WriteLine(tich);",a.1,b.120,c. 0,d. 5,Đáp án: c
118,"Câu 118: Đoạn chương trình sau thể hiện điều gì ?
OracleConnection ket noi;
Ket noi = new OracleConnection(Data Source=tên máy hoặc địa chỉ       IP;User ID=tênCSDL;Password=mật khẩu;Unicode=True);
Ket noi.Open();",a.Khai báo và khởi tạo đối tượng OracleConnection,b.Khai báo đối tượng OracleConnection,c.Khởi tạo đối tượng OracleConnection,d.Kết nối giữa các máy với nhau,Đáp án: a
119,Câu 119: Mọi thứ trong .NET đều là đối tượng được thừa kế từ ?,a. Lớp gốc System.Object.,b. Class.Object,c. Data.Oracle,d. Không có đáp án,Đáp án: a
120,"Câu 120: Đoạn lệnh sau có ý nghĩa gì ?
using System.Data.OracleClient;",a.Khai báo tham chiếu đến thư viện,b.Tham chiếu đến CSDL Oracle,c.Tham chiếu đến hệ thống CSDL,d.Tất cả đều đúng,Đáp án: a
121,"Câu 121: Khi khai báo đối tượng DataSet, DataAdapter được dùng để :",a. Hiển thị dữ liệu trên DataGridView,b.Tìm kiếm dữ liệu trên CSDL Oracle,c.Cả 2 đều đúng,d.Không có đáp án,Đáp án: b
122,"Câu 122: Đoạn chương trình sau sai ở đâu ?
class Program
{
static void (string[] args)
{
1. nguoi obj = new nguoi();
2. obj.getName=nguyen thi lan;
3. Console.WriteLine(obj.getName);
}
}
class nguoi
{
private string hoten;
public string getName
{get { return hoten; }}
}",a.3,b.1,c.2,d.Không có đáp án đúng,Đáp án: b
123,Câu 123: Câu lệnh nào dùng để khai báo thủ tục khởi tạo cho class nguoi,a. public nguoi(){},b. public string nguoi(){},c. public nguoi{},d. Không có đáp án đúng,Đáp án: a
124,Câu 124: Cách khai báo và khởi tạo đối tượng trong C#?,a.tên_lớp   tên_đối_tượng =  tên_lớp(),b.tên_lớp   tên_đối_tượng(),c.tên_đối_tượng   tên_lớp(),d.tên_lớp   tên_đối_tượng = new tên_lớp(),Đáp án: d
125,Câu 125: Trong C# có tối đa là bao nhiêu phương thức Main(),a.1,b.2,c.3,d.Không giới hạn,Đáp án: a
126,"Câu 126: Lớp nhanvien kế thừa được những gì ở lớp nguoi
class nhanvien : nguoi
{ }
class nguoi
{
private string hoten;
public string getName
{get { return hoten; }}
public void hienthi(){ }
}","a.hoten, getName, hienthi","b.getName, hienthi","c.hoten, hienthi","d.hoten, getName",Đáp án: b
127,"Câu 127: Chương trình sau sẽ gọi thủ tục khởi tạo nào ?
class Program
{
static void (string[] args)
{
nguoi obj = new nhanvien();
}
}
class nguoi
{
private string hoten;
1. public nguoi() { }
2. public nguoi(string name, int age) { }
3. public nguoi(string name) { }
}",a.2,b.1,c.3,d.Chương trình bị lỗi,Đáp án: b
128,"Câu 128: Chương trình sau sẽ gọi thủ tục khởi tạo nào ?
class Program
{
static void (string[] args)
{
nguoi obj = new nhanvien(23);
}
}
class nguoi
{
private string hoten;
1. public nguoi() { }
2. public nguoi(string name, int age) { }
3. public nguoi(string name) { }
}",a.3,b.1,c.2,d.Chương trình bị lỗi,Đáp án: d
129,"Câu 129: Chương trình sau sẽ gọi thủ tục khởi tạo nào ?
class Program
{
static void (string[] args)
{
nguoi obj = new nhanvien(nguyen thi lan);
}
}
class nguoi
{
private string hoten;
1. public nguoi() { }
2. public nguoi(string name, int age) { }
3. public nguoi(string name) { }
}",a.3,b.1,c.2,d.Chương trình bị lỗi,Đáp án: a
130,"Câu 130: Chương trình sau sẽ gọi thủ tục khởi tạo nào ?
class Program
{
static void (string[] args)
{
nguoi obj = new nhanvien(18,nguyen thi lan);
}
}
class nguoi
{
private string hoten;
1. public nguoi() { }
2. public nguoi(string name, int age) { }
3. public nguoi(string name) { }
}",a.2,b.1,c.3,d.Chương trình bị lỗi,Đáp án: d
131,"Câu 131: Cho biết kết quả của đoạn chương trình sau :
string sql=select * from SV@ketnoi_may10 where hoten like ‘%nguyen%’;
OracleDataAdapter  adapter;
adapter=new OracleDataAdapter(sql,ket noi);
adapter.Fill(ds);
DataGridView1.datasource=ds.tables[0];",a. Tìm kiếm người có họ tên bắt đầu là nguyen,b.Tìm kiếm người ở trong CSDL máy 10 có họ tên là nguyen,c.Thêm nguyen vào CSDL máy 10,d.Không có đáp án,Đáp án : b
132,Câu 132: Câu lệnh nào sau đây không bị lỗi khi biên dịch,a.int i=2; if (i==1) Console.WriteLine(i);,b.int i=2; if (i=1) Console.WriteLine(i);,c.int i=2; if (i) Console.WriteLine(i);,d.if (2) Console.WriteLine(i);,Đáp án: a
133,"Câu 133: Trong C#, để khai báo một phương thức của lớp là phương thức tĩnh ta dùng từ khoá",a.public,b.void,c.static,d.intenal,Đáp án: c
134,Câu 134: Từ khoá nào sau đây được dùng khi lớp con muốn cài đặt lại phương thức được thừa kế từ lớp cha,a.new,b.override,c.virtual,d.abstract,Đáp án: b
135,"Câu 135: Trong C#, cấu trúc nào sau đây được dùng để bắt và xử lý các ngoại lệ",a.if/else,b.Catch/Finaly,c.do/loop,d.Try/Catch,Đáp án: d
136,"Câu 136: Trong C#, ….. không được cài đặt phần thân của phương thức.",a.Phương thức,b.Interface,c.Class,d.Struct,Đáp án: b
137,"Câu 137: Trong C#, ….. không cài đặt phần thân của phương thức",a.Phương thức,b.Struct,c.Class,d.Phương thức trừu tượng. (được khai báo với từ khoá abstract),Đáp án: d
138,Câu 138: Ngôn ngữ C# không hỗ trợ,a.Đơn thừa kế,b.Implement nhiều Interface,c.Đa thừa kế,d.Implement một Interface,Đáp án: c
139,"Câu 139: Lớp Test được cài đặt như bên dưới, câu lệnh nào sau đây hợp lệ:
class Test
{
public static int mark;
public static void Print() { }
}",a.Test t = new Test(); t.mark = 9;,b.Test t = new Test(); t.Print();,c.Test.mark = 9;,d.Test.Print(9);,Đáp án: c
140,"Câu 140: Lớp Test được cài đặt như bên dưới, các câu lệnh sau được viết ngoài lớp Test, câu lệnh nào sau đây hợp lệ:
class Test
{
public static int mark;
public void Print() { }
}",a.Test t = new Test(); t.mark = 9;,b.Test t = new Test(); t.Print();,c.Test.mark = 9;,d.Test.Print();,Đáp án b:
141,Câu 141: Một chương trình C# có thể chạy trên bất cứ máy nào ?,a.Đúng,"b.Sai, Một chương trình C# chỉ chạy trên máy có hỗ trợ Common Languege Runtime","c.Sai, Một chương trình C# không chạy được trên HĐH Linux",d.Sai,Đáp án: b
142,Câu 142: Lựa chọn phát biểu đúng. Trong C#:,a. Một lớp có thể có nhiều lớp cha,b.Có thể tạo một thể hiện của một Interface,c.Lớp chỉ có thể được kế thừa tối đa một lớp cha.,d.Có thể tạo thể hiện của một lớp ảo (abstract),Đáp án: c
143,Câu 143: Lựa chọn phát biểu sai. Trong C#,a.Phạm vi truy xuất các phương thức của Interface mặc định là Public,b.Có thể phạm vi truy xuất cho các phương thức của Interface bằng từ khóa Private,c.Một Interface chỉ được khai báo tên phương thức chứ không được cài đặt phần thân của phương thức.,d.Một lớp khi implement tường minh 1 phương thức của interface thì phạm vi truy xuất của phương thức bắt buộc phải la public,Đáp án: b
144,"Câu 144: Để khai báo một mảng 10 phần tử kiểu int, khai báo nào sau đây đùng",a.int[10] arr;,b.int arr[10];,c.int arr[] = new int [10];,d.int[] arr = new int[10];,Đáp án: d
145,"Câu 145: Từ khóa virtual, override, new có thể được áp dụng cho",a.Method,b.Property có tham số,c.Property không tham số,d.Cả 3 đều đúng.,Đáp án : d
146,"Câu 146: Cho biết chức năng của đoạn chương trình sau ?
private DataTable datatable;
private OracleCommand cmd;
private OracleDataAdapter oradapter;",a.Khai báo các hằng,b. báo tham số,c.Khai báo các biến,d.Khai báo bảng CSDL,Đáp án : c
147,Câu 147: Cho biết ý nghĩa của đường dẫn sau :       C:\WINDOWS\Microsoft.NET\Framework\v2.0.50727\System.Data.OracleClient.dll,a.Add Reference Oracle DLL,b.using System.Data.OracleClient,c.Chuỗi kết nối,d.Tất cả đều đúng,Đáp án: a
148,"Câu 148: Trong lập trình CSDL phân tán với .NET, đâu là đoạn lệnh tham chiếu đến thư viện?",a.using Oracle.DataAccess.Client;,b.using System.Data.Oracle;,c.using System.Data.Adapter;,d.Không có đáp án đúng,Đáp án: a
149,Câu 149: Các chương trình được viết trên nền.NET Framework được triển khai trong môi trường phần mềm có tên là ?,a.Common Language Runtime,b.Common Language Run,c.Commen Language Runtime,d.Commen Language Run,Đáp án: a
150,Câu 150: Trong .NET để các đối tượng có thể tương hợp với các đối tượng khác thì trình biên dịch tuân theo ?,a.Common Language Specification,b.Common Type System,c.Common Language Runtime,d.Không có đáp án đúng,Đáp án: a
151,Câu 151: Nền tảng của .NET bao gồm bao nhiêu nhóm chính ?,a.2,b.3,c.4,d.5,Đáp án: c
152,"Câu 152: Trong .NET, chọn phát biểu đúng ?",a.Bộ thư viện Framework Class Library – FCL có thể được dùng bởi bất kỳ ngôn ngữ nào tuân theo CLS.,b. Bộ thư viện Framework Class Library – FCL có thể được dùng bởi bất kỳ ngôn ngữ nào.,c. Bộ thư viện Framework Class Library – FCL không được dùng bởi bất kỳ ngôn ngữ nào tuân theo CLS,d. Bộ thư viện Framework Class Library – FCL không được dùng bởi bất kỳ ngôn ngữ nào.,Đáp án: a
153,"Câu 153: Sau biên dịch, mã nguồn C# được chuyển thành ?",a.Tập tin IL lưu trên đĩa.,b.Tập tin IIL lưu trên đĩa.,c.Tập tin thực thi.,d.Không có đáp án đúng.,Đáp án: a
154,"Câu 154: Đoạn chương trình sau dùng để làm gì ?
string sql=select * from SV@ketnoi_may10 where hoten like ‘%thanh%’;
OracleDataAdapter  adapter;
adapter=new OracleDataAdapter(sql,ket noi);
adapter.Fill(ds);
DataGridView1.datasource=ds.tables[0];",a.Khai báo đối tượng OracleCommand,b.Khai báo đối tượng DataSet,c.Khai báo đối tượng DataAdapter,d.Tất cả đều đúng,Đáp án : c
155,"Câu 155: Kết quả đoạn chương trình sau là gì ?
int so;
so = 7;
if (so > 9)
{ Console.Write(hello); }
else if (so > 5) { Console.Write(good day!); }
else{Console.Write(good luck!);}",a.hello,b.good luck !,c.good day !,d.Không có đáp án đúng,Đáp án: c
156,Câu 156: Khi thực hiện công việc nào thì khai báo đối tượng OracleCommand,a.Xóa dữ liệu cho CSDL Oracle,b.Thêm dữ liệu cho CSDL Oracle,c.Cả 2 đáp án trên đều đúng,d.Không có đáp án đúng,Đáp án: c
157,Câu 157: Muốn tìm kiếm dữ liệu trên CSDL Oracle thì phải khai báo đối tượng,"a.OracleCommand, DataSet",b.DataAdapter,c.DataSet,"d.DataSet, DataAdapter",Đáp án: d
158,Câu 158: Khi nào thì khai báo đối tượng DataSet ?,a. Hiển thị dữ liệu trên DataGridView,b. Hiển thị dữ liệu cho CSDL,c. Thêm dữ liệu cho bảng tính,d. Đáp án khác,Đáp án: a
159,"Câu 159: Giả sử ta đã kết nối đến CSDL  ở máy số 5 trong mạng LAN và tên kết nối là ketnoi_may5. Đoạn chương trình sau thực hiện công việc gì?
String duongdan=data source=thinh-lanPC; user id= quanlysv; password= abc123;;
String caulenh=update sinhvien@ketnoi_may5 set hoten=’nguyen ngoc lan’ where masv=’05’;
OracleConnection ketnoi=new OracleConnection(duongdan);
OracleCommand cmd=new OracleCommand(caulenh,ketnoi);
cmd. ExecuteReader ();",a.Cập nhật dữ liệu vào bảng sinhvien của CSDL ở máy số 5,b.Chương trình bị lỗi ở câu lệnh cmd.ExecuteReader(),c.Cập nhật dữ liệu vào bảng sinhvien của CSDL hiện thời ở máy người dùng,d.Tất cả đều sai,Đáp án: b
160,"Câu 160: Giả sử ta đã kết nối đến CSDL  ở máy số 5 trong mạng LAN và tên kết nối là ketnoi_may5. Đoạn chương trình sau thực hiện công việc gì?
String duongdan=data source=thinh-lanPC; user id= quanlysv; password= abc123;;
String caulenh=update sinhvien@ketnoi_may5 set hoten=’nguyen ngoc lan’ where masv=’05’;
OracleConnection ketnoi=new OracleConnection(duongdan);
OracleCommand cmd=new OracleCommand(caulenh,ketnoi);
cmd. ExecuteNonQuery ();",a.Cập nhật dữ liệu vào bảng sinhvien của CSDL ở máy số 5,b.Chương trình bị lỗi ở câu lệnh cmd. ExecuteNonQuery (),c.Cập nhật dữ liệu vào bảng sinhvien của CSDL hiện thời ở máy người dùng,d.Tất cả đều sai,Đáp án: a
161,"Câu 161: Để xóa dữ liệu ở bảng sinhvien với masv=05, ở máy số 5 (tên kết nối là ketnoi_may5) bạn sử dụng câu lệnh khai báo nào?",a.delete from sinhvien where masv=’05’,b.delete from sinhvien@ketnoi_may5,c.delete from sinhvien@ketnoi_may5 where masv=’05’,d.Tất cả đều sai,Đáp án: c
162,Câu 162: Để mở kết nối đến CSDL Oracle bạn sử dụng phương thức ?,a.ketnoi.Open() ;,b.ketnoi.OpenConnection() ;,c.ketnoi.OpenDatabase() ;,d.Không có đáp án nào đúng,Đáp án: a
163,Câu 163 : Để lấy ra vị trí dòng hiện thời trong DataGridView bạn sử dụng câu lệnh nào ?,a. DataGridView1.CurrentCell.Index ;,b. DataGridView1.CurrentRow.Count ;,c. DataGridView1.CurrentRow.Index ;,d. Không có đáp án đúng,Đáp án : c
164,"Câu 164 : Để lấy ra giá trị của ô đang chọn hiện thời( dòng hiện thời đang là dòng đầu tiên), trong dataGridView bạn chọn ?",a. dataGridView1.CurrentRow.Cells[0].Text,b. dataGridView1.CurrentCell.Row[0].Value,c. dataGridView1.CurrentRow.Row[0].Value,d. dataGridView1.CurrentRow.Cells[0].Value ;,Đáp án: d
165,"Câu 165: Muốn lấy giá trị của cột thứ 2, ở dòng thứ 3 trong dataGridView bạn chọn ?",a. dataGridView1.CurrentRow[2].Cells[1].Value ;,b. dataGridView1.Rows[2].Cells[1].Value ;,c. dataGridView1.Cells[2].Rows[1].Value ;,d. Không có đáp án đúng,Đáp án: b
166,Câu 166: Câu lệnh cmd.ExecuteNonQuery dùng để thực hiện chức năng gì?,"a. Insert, Update, Select","b. Insert, Delete, Select","c. Insert, Update, Delete","d. Insert, Update, Delete, Select",Đáp án: c
167,Câu 167: Trước khi dùng C# kết nối đến cơ sở dữ liệu phân tán ở máy khác thì bạn phải?,a. Không phải làm gì cả,b. Tạo Database ở máy khác,c. Tạo 1 kết nối đến cơ sở dữ liệu ở máy khác bằng công cụ sqldeveloper,d. Tất cả đều sai,Đáp án: c
168,"Câu 168: Trong lập trình CSDL phân tán, để thao tác được với CSDL Oracle thì bạn phải….?",a. using System.Data;,b. using System.Data.OracleClient;,c. using System.Data.Oledb;,d. using System.Data.SqlClient;,Đáp án: b
169,"Câu 169: Trong lập trình CSDL phân tán, để thao tác được với CSDL Oracle thì bạn phải tham chiếu đến thư viện CSDL Oracle bằng cách…",a..Project/Add Reference/COM /System. Data.OracleClient,b.Project/Add Web Reference/.Net/System. Data.OracleClient,c.Project/Add Reference/.Net/System. Data.OracleClient,d.Không cần phải tham chiếu,Đáp án: c
170,Câu 170: Để lập trình CSDL phân tán bạn cần tối thiểu những đối tượng nào sau đây?,"a. OracleConnection, OracleDataAdapter","b. OracleDataAdapter, DataTable","c. OracleDataReader, OracleDataAdapter, DataTable","d. OracleConnection, OracleDataAdapter, DataTable",Đáp án: d
171,"Câu 171: Để tạo đối tượng kết nối đến CSDL Oracle,bạn khai báo?",a. OracleConnection ketnoi=new OracleConnection(duong dan),b. SqlConnection ketnoi=new SqlConnection(duong dan),c. OledbConnection ketnoi=new OledbConnection(duong dan),d. Tất cả đều sai,Đáp án: a
172,"Câu 172: Cho đoạn lệnh sau:
OracleConnection ketnoi=new OracleConnection(Data source= ; user id=  ; password= );
trong Data source bạn phải nhập?",a. Địa chỉ IP của máy cần kết nối,b. Tên máy tính đang làm việc,c. Tên người dùng Database,d. Tất cả đều sai,Đáp án: b
173,"Câu 173: Cho đoạn lệnh sau:
OracleConnection ketnoi=new OracleConnection(Data source= ; user id= ; password= );
trong user id  bạn phải nhập?",a.Địa chỉ IP của máy cần kết nối,b.Tên người dùng Database,c.Tên máy tính đang làm việc,d.Mật khẩu của người dùng Database,Đáp án: b
174,"Câu 174: Cho đoạn lệnh sau:
OracleConnection ketnoi=new OracleConnection(Data source= ; user id= ; password= );
trong password  bạn phải nhập?",a.Mật khẩu của người dùng Database cần kết nối đến,b.Mật khẩu đăng nhập của CSDL Oracle,c.Mật khẩu người dùng Database hiện thời,d.Tất cả đều sai,Đáp án: c
175,"Câu 175: Để điền dữ liệu vào cho điều khiển dataGridView,bạn khai báo câu lệnh ?",a.dataGridView1.DataMember = nguồn dữ liệu,b.dataGridView1.DataSource = nguồn dữ liệu,c.dataGridView1.RowSource = nguồn dữ liệu,d.Không có đáp án đúng,Đáp án: b
176,Câu 176: Chúng ta cần những tham số nào cho lớp OracleConnection?,a.server; password; database,b. data source ; user id; integrated security; password,c.server; database; username,"d.data source ; user id, password",Đáp án: d
177,Câu 177: Để thực hiện các câu lệnh Insert bạn sử dụng phương thức nào trong C#?,a.cmd.ExecuteReader() ;,b.cmd.ExecuteScalar() ;,c.cmd.ExecuteNonQuery() ;,d.cmd.EndExecuteNonQuery() ;,Đáp án: c
178,Câu 178: Để thực thi câu truy vấn Update bạn sử dụng câu lệnh nào sau đây ?,a.cmd.ExecuteNonQuery(),b.cmd.ExecuteReader(),c.cmd.EndExecuteNonQuery(),d.cmd.ExecuteScalar(),Đáp án: a
179,Câu 179: Để thực thi câu lệnh truy vấn Delete bạn sử dụng câu lệnh nào sau đây?,a.cmd.ExecuteReader(),b.cmd.ExecuteNonQuery(),c.cmd.ExecuteScalar(),d.cmd.EndExecuteNonQuery(),Đáp án: b
180,"Câu 180: Giả sử ta đã kết nối đến CSDL  ở máy số 5 trong mạng LAN và tên kết nối là ketnoi_may5. Đoạn chương trình sau thực hiện công việc gì?
String duongdan=data source=thinh-lanPC; user id= quanlysv; password= abc123;;
String caulenh=select * from sinhvien@ketnoi_may5;
OracleConnection ketnoi=new OracleConnection(duongdan);
OracleDataAdapter da=new  OracleDataAdapter(caulenh, ketnoi);
DataTable dt=new DataTable();
da.Fill(dt);",a.Truy vấn tất cả dữ liệu từ bảng sinhvien của CSDL ở máy số 5,b.Câu lệnh sai ở dòng da.Fill(dt);,c.Truy vấn tất cả dữ liệu từ bảng sinhvien của CSDL hiện thời ở máy người dùng,d.Tất cả đều sai,Đáp án: a
181,"Câu 181: Giả sử ta đã kết nối đến CSDL  ở máy số 5 trong mạng LAN và tên kết nối là ketnoi_may5. Đoạn chương trình sau thực hiện công việc gì?
String duongdan=data source=thinh-lanPC; user id= quanlysv; password= abc123;;
String caulenh=insert into sinhvien(masv,hoten,diachi) values(‘05’,’dang huu thinh’,’ha noi’);
OracleConnection ketnoi=new OracleConnection(duongdan);
OracleCommand cmd=new OracleCommand(caulenh,ketnoi);
cmd. ExecuteNonQuery ();",a.Chèn thêm dữ liệu vào bảng sinhvien của CSDL ở máy số 5,b.Chương trình bị lỗi ở dòng khai báo câu lệnh String caulenh,c.Chèn thêm dữ liệu vào bảng sinhvien của CSDL hiện thời ở máy người dùng,d.Tất cả đều sai,Đáp án: a
182,"Câu 182: Message Passing Interface (MPI) là:
1 công nghệ lập trình song song
1 cơ chế truyền thông điệp
1 giao diện chuyển thông điệp
1 thư viện phục  vụ cho quá trình giao tiếp
Tất cả đều đúng",,,,,Đáp án: a
183,"Câu 183: Tham số send_count trong hàm int MPI_Send(void *data_to_send, int send_count, MPI_Datatype send_type,   int destination_ID, int tag, MPI_Comm comm); dùng để:
Kích thước mảng data gửi đi
Đếm số lần gửi dữ liệu
Đếm số lượng dữ liệu gửi đi
Đếm số dữ liệu đã gửi
Đáp  án: a
Câu 184: Tham số sender_ID trong hàm int MPI_Recv(void *received_data, int receive_count, MPI_Datatype receive_type, int sender_ID, int tag, MPI_Comm comm, MPI_Status *status); dùng để:",a.  Chỉ ra ID của process gửi,b.  Chỉ ra ID của máy gửi,c.  Đánh số thứ tự của process gửi,,Đáp án: a
184,"Câu186: Kiểu dữ liệu MPI_PACKED ứng với kiểu dữ liệu nào trong C:
không kiểu nào
void
struct
double",,,,,Đáp án: a
185,"Câu 187: Để sử dụng MPI chúng ta cần khai báo thư viện nào trong chương trình C:
mpi.h
mpich2.h
mpich2.lib
mpich2.dll",,,,,Đáp án: a
186,"Câu 188: Để chạy chương trình MPI chúng ta cần liên kết tới thư viện (.dll) nào của MPI?
mpich2.dll
mpich2.lib
mpich.lib
mpich2d.dll",,,,,Đáp án: a
187,"Câu 189: Tham số rank trong hàm int MPI_Comm_rank( MPI_Comm comm, int *rank) dùng để:
Định danh cho từng tiến trình trong 1 bộ truyền thông
Xác định số lượng bộ xử lý
Xếp hạng của từng bộ xử lý
Định danh cho từng tiến trình trong 1 bộ xử lý",,,,,Đáp án: a
